class,xcenter,ycenter,width,height
1,0.471875,0.328125,0.15,0.221875
1,0.69375,0.3671875,0.1265625,0.2421875
0,0.628125,0.4390625,0.0625,0.075
0,0.68125,0.459375,0.0515625,0.0796875
0,0.5984375,0.446875,0.09375,0.05625
0,0.6359375,0.50625,0.090625,0.05
1,0.61875,0.55625,0.084375,0.065625
1,0.8359375,0.490625,0.246875,0.4640625
1,0.915625,0.59375,0.16875,0.3796875
0,0.2484375,0.4703125,0.3578125,0.4328125
0,0.4484375,0.6375,0.3609375,0.3953125
0,0.4125,0.7015625,0.3734375,0.26875
0,0.1328125,0.63125,0.1796875,0.4078125
1,0.85625,0.809375,0.1765625,0.0515625
1,0.03125,0.6,0.0625,0.196875
0,0.0328125,0.384375,0.065625,0.265625
0,0.0921875,0.2609375,0.184375,0.190625
0,0.315625,0.25,0.2515625,0.16875
0,0.1703125,0.7625,0.140625,0.1453125
0,0.69375,0.78125,0.1546875,0.109375
0,0.5328125,0.4203125,0.0765625,0.0609375
