class,xcenter,ycenter,width,height
1,0.471875,0.3265625,0.15,0.221875
1,0.6875,0.365625,0.1265625,0.2421875
0,0.6265625,0.4359375,0.0625,0.075
0,0.678125,0.45625,0.0515625,0.0796875
0,0.5984375,0.4453125,0.09375,0.05625
0,0.634375,0.503125,0.090625,0.05
1,0.6171875,0.5515625,0.084375,0.065625
1,0.8359375,0.4875,0.246875,0.4640625
1,0.915625,0.584375,0.16875,0.3984375
0,0.2484375,0.4703125,0.3578125,0.4328125
0,0.4484375,0.634375,0.3609375,0.4
0,0.4125,0.6984375,0.3734375,0.275
0,0.1328125,0.628125,0.1796875,0.4140625
1,0.0328125,0.6,0.065625,0.2125
1,0.85,0.8046875,0.175,0.0625
0,0.690625,0.778125,0.146875,0.115625
0,0.171875,0.7609375,0.1375,0.15
0,0.0328125,0.3734375,0.065625,0.271875
0,0.090625,0.265625,0.18125,0.2
0,0.3125,0.25,0.25,0.16875
0,0.5265625,0.4109375,0.0734375,0.046875
