class,xcenter,ycenter,width,height
1,0.496875,0.3515625,0.15,0.221875
1,0.73125,0.3953125,0.13125,0.2421875
0,0.65625,0.475,0.0625,0.075
0,0.7125,0.496875,0.0515625,0.0796875
0,0.6265625,0.4875,0.0984375,0.05625
0,0.6625,0.553125,0.1015625,0.05
1,0.6453125,0.60625,0.084375,0.065625
1,0.8765625,0.51875,0.246875,0.4640625
0,0.2671875,0.4984375,0.365625,0.4328125
0,0.465625,0.6609375,0.375,0.3484375
0,0.4265625,0.7375,0.3734375,0.196875
0,0.1328125,0.65,0.2015625,0.3703125
0,0.71875,0.8078125,0.1359375,0.0546875
0,0.1671875,0.7953125,0.1609375,0.08125
0,0.03125,0.421875,0.0625,0.2875
0,0.0953125,0.28203125,0.190625,0.2328125
0,0.33125,0.2671875,0.2578125,0.203125
0,0.55625,0.4515625,0.08125,0.059375
1,0.9359375,0.6921875,0.128125,0.2859375
1,0.0265625,0.6671875,0.053125,0.23125
