class,xcenter,ycenter,width,height
1,0.475,0.33125,0.15,0.221875
1,0.7,0.3703125,0.1265625,0.2421875
0,0.6328125,0.4453125,0.0625,0.075
0,0.6859375,0.4640625,0.0515625,0.0796875
0,0.6046875,0.453125,0.09375,0.05625
0,0.640625,0.5125,0.090625,0.05
1,0.6234375,0.5625,0.084375,0.065625
1,0.8484375,0.4921875,0.25,0.4640625
1,0.91875,0.6125,0.1609375,0.34375
0,0.25,0.4734375,0.365625,0.4328125
0,0.45,0.640625,0.3609375,0.3890625
0,0.4140625,0.70625,0.3734375,0.2578125
0,0.134375,0.6328125,0.18125,0.4046875
0,0.6984375,0.784375,0.146875,0.103125
0,0.1703125,0.76875,0.140625,0.1328125
0,0.0328125,0.38671875,0.065625,0.2671875
0,0.09375,0.2640625,0.1875,0.196875
0,0.31875,0.2484375,0.246875,0.1671875
0,0.53125,0.4234375,0.08125,0.05625
1,0.03125,0.6203125,0.0625,0.2203125
