class,xcenter,ycenter,width,height
1,0.475,0.3296875,0.15,0.221875
1,0.696875,0.36875,0.1265625,0.2421875
0,0.63125,0.440625,0.0625,0.075
0,0.6828125,0.4609375,0.0515625,0.0796875
0,0.5984375,0.45,0.09375,0.05625
0,0.6359375,0.509375,0.090625,0.05
1,0.6203125,0.5578125,0.084375,0.065625
1,0.8359375,0.490625,0.246875,0.4640625
1,0.915625,0.6078125,0.16875,0.35
0,0.2484375,0.4734375,0.3578125,0.4328125
0,0.4484375,0.6390625,0.3609375,0.3921875
0,0.4125,0.703125,0.3734375,0.265625
0,0.1328125,0.63125,0.1796875,0.4078125
1,0.8609375,0.809375,0.18125,0.053125
1,0.0328125,0.60625,0.065625,0.21875
0,0.034375,0.3828125,0.06875,0.265625
0,0.090625,0.2640625,0.18125,0.196875
0,0.31875,0.246875,0.2453125,0.1625
0,0.5328125,0.41875,0.0765625,0.05
0,0.6953125,0.78125,0.146875,0.109375
0,0.16875,0.765625,0.140625,0.140625
