class,xcenter,ycenter,width,height
1,0.478125,0.3328125,0.15,0.221875
1,0.703125,0.375,0.1265625,0.2421875
0,0.6359375,0.446875,0.0625,0.075
0,0.6875,0.4671875,0.0515625,0.0796875
0,0.60625,0.4546875,0.09375,0.05625
0,0.64375,0.5171875,0.090625,0.05
1,0.625,0.5671875,0.084375,0.065625
1,0.8515625,0.496875,0.25,0.4640625
0,0.253125,0.4765625,0.365625,0.4328125
0,0.4515625,0.64375,0.3609375,0.384375
0,0.4140625,0.7078125,0.3734375,0.2546875
0,0.1359375,0.6359375,0.184375,0.4
1,0.921875,0.6125,0.1546875,0.34375
0,0.7015625,0.7859375,0.15625,0.0984375
0,0.1703125,0.7703125,0.1421875,0.13125
0,0.0328125,0.3890625,0.065625,0.275
0,0.0921875,0.26875,0.184375,0.2078125
0,0.3203125,0.253125,0.2484375,0.175
0,0.5375,0.425,0.078125,0.05625
1,0.0328125,0.6203125,0.065625,0.2265625
