class,xcenter,ycenter,width,height
1,0.471875,0.3171875,0.15,0.215625
1,0.6828125,0.3609375,0.121875,0.246875
0,0.61875,0.4265625,0.0640625,0.075
0,0.6703125,0.446875,0.0515625,0.0796875
0,0.5859375,0.4359375,0.09375,0.05625
0,0.625,0.484375,0.090625,0.05
1,0.609375,0.5359375,0.0765625,0.065625
1,0.8328125,0.48125,0.2421875,0.4640625
1,0.9078125,0.5671875,0.184375,0.43125
0,0.24375,0.4578125,0.3578125,0.428125
0,0.440625,0.6296875,0.3609375,0.4109375
0,0.4109375,0.6875,0.3734375,0.29375
0,0.1328125,0.6234375,0.175,0.421875
0,0.09375,0.2734375,0.1859375,0.215625
0,0.3109375,0.25,0.240625,0.1703125
0,0.0328125,0.36953125,0.065625,0.2734375
1,0.0359375,0.5859375,0.0703125,0.21875
1,0.8390625,0.7953125,0.1734375,0.08125
0,0.684375,0.7703125,0.1453125,0.13125
0,0.1734375,0.746875,0.14375,0.1765625
0,0.525,0.409375,0.071875,0.05625
