class,xcenter,ycenter,width,height
1,0.478125,0.3328125,0.15,0.221875
1,0.70625,0.375,0.1265625,0.2421875
0,0.6375,0.4484375,0.0625,0.075
0,0.6890625,0.4671875,0.0515625,0.0796875
0,0.60625,0.45625,0.09375,0.05625
0,0.64375,0.5171875,0.090625,0.05
1,0.6265625,0.5671875,0.084375,0.065625
1,0.8546875,0.496875,0.25,0.4640625
0,0.253125,0.4765625,0.365625,0.4328125
0,0.4546875,0.64375,0.3609375,0.384375
0,0.415625,0.7078125,0.3734375,0.2546875
0,0.1390625,0.6359375,0.184375,0.4
1,0.921875,0.6125,0.1546875,0.34375
0,0.0921875,0.275,0.184375,0.21875
0,0.3203125,0.246875,0.246875,0.1625
0,0.0328125,0.3921875,0.065625,0.2765625
0,0.5390625,0.4265625,0.0828125,0.0546875
0,0.703125,0.784375,0.1546875,0.1015625
0,0.1703125,0.7703125,0.1421875,0.1296875
1,0.03125,0.61953125,0.0625,0.2109375
