class,xcenter,ycenter,width,height
1,0.4921875,0.346875,0.15,0.221875
1,0.721875,0.3875,0.13125,0.2421875
0,0.653125,0.46875,0.0625,0.075
0,0.7078125,0.490625,0.0515625,0.0796875
0,0.621875,0.478125,0.0984375,0.05625
0,0.65625,0.5421875,0.1015625,0.05
1,0.6421875,0.5953125,0.084375,0.065625
1,0.871875,0.5109375,0.25,0.4640625
0,0.2625,0.4921875,0.365625,0.4328125
0,0.4609375,0.6578125,0.375,0.3546875
0,0.4234375,0.728125,0.3734375,0.2140625
0,0.1390625,0.646875,0.1875,0.3765625
1,0.93125,0.675,0.1375,0.321875
1,0.03125,0.65,0.0625,0.2265625
0,0.034375,0.4109375,0.0671875,0.2828125
0,0.0953125,0.284375,0.190625,0.2375
0,0.33125,0.25,0.253125,0.1703125
0,0.553125,0.4453125,0.0890625,0.0546875
0,0.1640625,0.7890625,0.1453125,0.09375
0,0.715625,0.8,0.1515625,0.0703125
