class,xcenter,ycenter,width,height
1,0.48125,0.3359375,0.15,0.221875
1,0.7109375,0.3765625,0.1265625,0.2421875
0,0.640625,0.45625,0.0625,0.075
0,0.6953125,0.4765625,0.0515625,0.0796875
0,0.6125,0.4640625,0.09375,0.05625
0,0.646875,0.5265625,0.096875,0.05
1,0.6296875,0.5796875,0.084375,0.065625
1,0.859375,0.5015625,0.25,0.4640625
0,0.2578125,0.4828125,0.365625,0.4328125
0,0.4578125,0.6484375,0.3609375,0.3734375
0,0.4203125,0.7171875,0.3734375,0.2375
0,0.1390625,0.6390625,0.1859375,0.39375
1,0.925,0.646875,0.1484375,0.353125
1,0.03125,0.6296875,0.0625,0.203125
0,0.0328125,0.396875,0.065625,0.2796875
0,0.0921875,0.27578125,0.184375,0.2234375
0,0.3234375,0.259375,0.2453125,0.1859375
0,0.5421875,0.4328125,0.078125,0.05625
0,0.16875,0.778125,0.1390625,0.115625
0,0.709375,0.7921875,0.1546875,0.0875
