class,xcenter,ycenter,width,height
1,0.471875,0.31875,0.15,0.2140625
1,0.6828125,0.3625,0.121875,0.24375
0,0.6234375,0.4296875,0.0640625,0.075
0,0.6734375,0.45,0.0515625,0.0796875
0,0.5890625,0.4375,0.09375,0.05625
0,0.6296875,0.4890625,0.090625,0.05
1,0.6140625,0.54375,0.0765625,0.065625
1,0.83125,0.4828125,0.2421875,0.4625
1,0.9078125,0.575,0.184375,0.4171875
0,0.24375,0.459375,0.3578125,0.4265625
0,0.440625,0.63125,0.3609375,0.409375
0,0.4109375,0.6921875,0.3734375,0.2859375
0,0.1328125,0.6265625,0.175,0.41875
0,0.0921875,0.2640625,0.184375,0.196875
0,0.309375,0.2546875,0.2546875,0.1765625
0,0.034375,0.38125,0.06875,0.26875
0,0.1765625,0.7546875,0.14375,0.1625
0,0.6859375,0.7703125,0.1453125,0.1296875
0,0.521875,0.4078125,0.090625,0.0703125
1,0.840625,0.7984375,0.178125,0.0734375
1,0.0328125,0.58984375,0.065625,0.2109375
