class,xcenter,ycenter,width,height
1,0.4734375,0.3296875,0.15,0.221875
1,0.7,0.36875,0.1265625,0.2421875
0,0.6328125,0.440625,0.0625,0.075
0,0.684375,0.4609375,0.0515625,0.0796875
0,0.603125,0.45,0.09375,0.05625
0,0.6390625,0.5109375,0.090625,0.05
1,0.6234375,0.5609375,0.084375,0.065625
1,0.8484375,0.490625,0.25,0.4640625
1,0.915625,0.6078125,0.16875,0.35
0,0.25,0.4734375,0.365625,0.4328125
0,0.4515625,0.6390625,0.3609375,0.3921875
0,0.4140625,0.703125,0.3734375,0.265625
0,0.134375,0.63125,0.1828125,0.4078125
1,0.8609375,0.8078125,0.175,0.0546875
1,0.03125,0.60625,0.0625,0.2140625
0,0.0328125,0.38125,0.065625,0.284375
0,0.0921875,0.25625,0.184375,0.18125
0,0.3171875,0.25,0.246875,0.16875
0,0.5328125,0.41875,0.075,0.0546875
0,0.171875,0.765625,0.1390625,0.140625
0,0.696875,0.78125,0.15,0.1078125
