class,xcenter,ycenter,width,height
1,0.4984375,0.353125,0.15,0.221875
1,0.7328125,0.39375,0.13125,0.2421875
0,0.6609375,0.4796875,0.0625,0.075
0,0.715625,0.5015625,0.0515625,0.0796875
0,0.6296875,0.490625,0.0984375,0.05625
0,0.6671875,0.559375,0.1015625,0.05
1,0.6484375,0.6109375,0.084375,0.065625
1,0.878125,0.51875,0.24375,0.4640625
0,0.2703125,0.5,0.365625,0.4328125
0,0.4703125,0.6640625,0.375,0.3421875
0,0.4265625,0.7390625,0.3734375,0.1921875
0,0.134375,0.6515625,0.2015625,0.36875
1,0.93671875,0.70390625,0.1265625,0.2609375
1,0.028125,0.675,0.0546875,0.2296875
0,0.0328125,0.4203125,0.065625,0.278125
0,0.09375,0.2796875,0.1875,0.2265625
0,0.334375,0.265625,0.2546875,0.1984375
0,0.1609375,0.7953125,0.14375,0.0796875
0,0.5578125,0.45625,0.084375,0.06875
