class,xcenter,ycenter,width,height
1,0.4796875,0.334375,0.15,0.221875
1,0.70625,0.375,0.1265625,0.2421875
0,0.6375,0.4515625,0.0625,0.075
0,0.690625,0.4703125,0.0515625,0.0796875
0,0.609375,0.4609375,0.09375,0.05625
0,0.646875,0.5203125,0.090625,0.05
1,0.6296875,0.571875,0.084375,0.065625
1,0.8578125,0.4984375,0.25,0.4640625
0,0.25625,0.4765625,0.365625,0.4328125
0,0.4578125,0.6453125,0.3609375,0.3796875
0,0.41875,0.709375,0.3734375,0.2515625
0,0.1375,0.6359375,0.184375,0.396875
1,0.921875,0.6125,0.1546875,0.34375
1,0.0296875,0.61875,0.059375,0.209375
0,0.03125,0.390625,0.0625,0.278125
0,0.0921875,0.2703125,0.184375,0.2109375
0,0.321875,0.253125,0.246875,0.1765625
0,0.540625,0.428125,0.0765625,0.05625
0,0.703125,0.7859375,0.1546875,0.096875
0,0.165625,0.7734375,0.14375,0.125
