class,xcenter,ycenter,width,height
1,0.49375,0.35,0.15,0.221875
1,0.7265625,0.390625,0.13125,0.2421875
0,0.65625,0.471875,0.0625,0.075
0,0.709375,0.4921875,0.0515625,0.0796875
0,0.6265625,0.4828125,0.0984375,0.05625
0,0.6609375,0.546875,0.1015625,0.05
1,0.6421875,0.6015625,0.084375,0.065625
1,0.875,0.51875,0.25,0.4640625
0,0.2640625,0.4953125,0.365625,0.4328125
0,0.4640625,0.659375,0.375,0.35
0,0.4265625,0.734375,0.3734375,0.203125
0,0.134375,0.6484375,0.2015625,0.3734375
1,0.9328125,0.6828125,0.1328125,0.30625
1,0.0296875,0.659375,0.059375,0.234375
0,0.0328125,0.415625,0.065625,0.275
0,0.09375,0.27734375,0.1875,0.2234375
0,0.3296875,0.2625,0.253125,0.19375
0,0.5546875,0.45,0.0859375,0.0578125
0,0.165625,0.7921875,0.1484375,0.0859375
0,0.715625,0.80625,0.1421875,0.0578125
