class,xcenter,ycenter,width,height
1,0.4734375,0.3203125,0.15,0.2109375
1,0.6875,0.3640625,0.1265625,0.2421875
0,0.625,0.4328125,0.0625,0.075
0,0.6765625,0.4515625,0.0515625,0.0796875
0,0.5953125,0.4421875,0.09375,0.05625
0,0.6296875,0.490625,0.090625,0.05
1,0.615625,0.5484375,0.0765625,0.065625
1,0.8359375,0.4828125,0.246875,0.4609375
1,0.9125,0.5765625,0.175,0.4140625
0,0.2484375,0.4609375,0.3578125,0.421875
0,0.4484375,0.634375,0.3609375,0.403125
0,0.4125,0.6953125,0.3734375,0.2796875
0,0.1328125,0.6265625,0.1796875,0.415625
1,0.846875,0.803125,0.18125,0.0640625
1,0.0328125,0.5875,0.065625,0.2
0,0.034375,0.3796875,0.06875,0.2625
0,0.090625,0.2703125,0.18125,0.209375
0,0.3125,0.2484375,0.246875,0.1640625
0,0.525,0.4140625,0.0765625,0.0625
0,0.1734375,0.759375,0.146875,0.153125
0,0.6890625,0.7765625,0.146875,0.1171875
