class,xcenter,ycenter,width,height
1,0.46875,0.315625,0.15,0.2171875
1,0.6765625,0.3609375,0.121875,0.246875
0,0.6125,0.4234375,0.0640625,0.075
0,0.6671875,0.440625,0.0515625,0.0796875
0,0.584375,0.4296875,0.09375,0.05625
0,0.61875,0.48125,0.090625,0.05
1,0.6078125,0.5328125,0.0765625,0.065625
1,0.83125,0.4796875,0.2421875,0.465625
1,0.9078125,0.559375,0.184375,0.4484375
0,0.2421875,0.45625,0.353125,0.4296875
0,0.440625,0.628125,0.3609375,0.415625
0,0.4109375,0.6859375,0.3609375,0.2984375
0,0.1328125,0.6234375,0.175,0.4234375
1,0.034375,0.584375,0.06875,0.209375
0,0.034375,0.36953125,0.06875,0.2796875
0,0.0921875,0.26640625,0.184375,0.2046875
0,0.309375,0.2484375,0.240625,0.165625
0,0.5203125,0.4046875,0.0734375,0.0578125
0,0.68125,0.7671875,0.1515625,0.1375
0,0.178125,0.75,0.1421875,0.1703125
1,0.8328125,0.7953125,0.1765625,0.08125
