class,xcenter,ycenter,width,height
1,0.4984375,0.353125,0.15,0.221875
1,0.734375,0.3953125,0.13125,0.2421875
0,0.6625,0.48125,0.0625,0.075
0,0.7171875,0.5015625,0.0515625,0.0796875
0,0.6296875,0.4921875,0.0984375,0.05625
0,0.6671875,0.559375,0.1015625,0.05
1,0.65,0.6140625,0.084375,0.065625
1,0.87890625,0.51953125,0.2421875,0.4640625
0,0.2703125,0.5015625,0.365625,0.4328125
0,0.4703125,0.6640625,0.375,0.3421875
0,0.4234375,0.740625,0.3734375,0.1890625
0,0.1359375,0.653125,0.2015625,0.3640625
1,0.9390625,0.70625,0.121875,0.259375
1,0.03125,0.6703125,0.0625,0.2390625
0,0.03125,0.4234375,0.0625,0.28125
0,0.09375,0.28515625,0.1875,0.2390625
0,0.3328125,0.2671875,0.2578125,0.2046875
0,0.559375,0.45625,0.078125,0.0703125
0,0.159375,0.8,0.1421875,0.071875
