class,xcenter,ycenter,width,height
1,0.471875,0.328125,0.15,0.221875
1,0.690625,0.3671875,0.1265625,0.2421875
0,0.628125,0.4390625,0.0625,0.075
0,0.68125,0.459375,0.0515625,0.0796875
0,0.5984375,0.446875,0.09375,0.05625
0,0.6359375,0.503125,0.090625,0.05
1,0.6171875,0.5546875,0.084375,0.065625
1,0.8359375,0.490625,0.246875,0.4640625
1,0.915625,0.5875,0.16875,0.390625
0,0.2484375,0.4703125,0.3578125,0.4328125
0,0.4484375,0.6359375,0.3609375,0.3984375
0,0.4125,0.7,0.3734375,0.2703125
0,0.1328125,0.63125,0.1796875,0.4078125
0,0.171875,0.7609375,0.140625,0.1484375
0,0.6953125,0.778125,0.1515625,0.1125
0,0.0328125,0.378125,0.065625,0.271875
0,0.0953125,0.2671875,0.1890625,0.2046875
0,0.31875,0.25,0.2453125,0.1703125
0,0.5328125,0.41875,0.075,0.0546875
1,0.03125,0.6046875,0.0625,0.209375
1,0.853125,0.8078125,0.1796875,0.0546875
