class,xcenter,ycenter,width,height
1,0.1046875,0.6546875,0.159375,0.159375
1,0.6796875,0.71875,0.121875,0.11875
1,0.6140625,0.5859375,0.0875,0.1140625
0,0.478125,0.63125,0.1296875,0.0765625
1,0.5390625,0.6796875,0.0703125,0.0453125
1,0.709375,0.459375,0.0390625,0.071875
0,0.625,0.284375,0.0890625,0.13125
0,0.5359375,0.4421875,0.0484375,0.121875
1,0.6375,0.5015625,0.090625,0.0734375
0,0.56875,0.384375,0.0859375,0.1359375
0,0.7625,0.5625,0.0703125,0.153125
1,0.4578125,0.4453125,0.0578125,0.1
0,0.859375,0.5984375,0.165625,0.1421875
1,0.4984375,0.440625,0.0328125,0.125
0,0.7796875,0.4609375,0.1140625,0.065625
0,0.5359375,0.546875,0.0765625,0.103125
0,0.8078125,0.721875,0.1265625,0.0984375
1,0.8046875,0.3234375,0.1484375,0.08125
0,0.0875,0.2390625,0.1625,0.040625
0,0.25625,0.709375,0.0640625,0.0671875
1,0.5015625,0.5984375,0.059375,0.065625
1,0.9515625,0.2578125,0.0359375,0.078125
1,0.684375,0.3453125,0.028125,0.05
1,0.7015625,0.565625,0.05,0.05
1,0.0546875,0.740625,0.04375,0.0515625
1,0.509375,0.7296875,0.046875,0.05
0,0.740625,0.75625,0.08125,0.0484375
1,0.9734375,0.3015625,0.053125,0.1515625
0,0.9640625,0.4375,0.071875,0.059375
1,0.9671875,0.646875,0.0640625,0.0859375
