class,xcenter,ycenter,width,height
1,0.09375,0.65625,0.159375,0.15625
1,0.6671875,0.721875,0.121875,0.11875
1,0.6015625,0.5875,0.0875,0.1140625
0,0.4640625,0.634375,0.1296875,0.0765625
1,0.525,0.6828125,0.0703125,0.0453125
1,0.6953125,0.4625,0.0390625,0.071875
0,0.60625,0.2859375,0.0890625,0.134375
0,0.528125,0.4390625,0.0578125,0.121875
1,0.6265625,0.5046875,0.090625,0.0734375
0,0.5578125,0.3875,0.0859375,0.1359375
0,0.75,0.5625,0.0703125,0.153125
1,0.4390625,0.453125,0.0578125,0.1
0,0.846875,0.596875,0.165625,0.1421875
1,0.484375,0.44375,0.0375,0.121875
0,0.7671875,0.4609375,0.109375,0.05625
0,0.5265625,0.5453125,0.075,0.0984375
0,0.8,0.728125,0.1328125,0.1046875
1,0.7953125,0.321875,0.1359375,0.08125
0,0.075,0.2453125,0.15,0.053125
0,0.246875,0.709375,0.0578125,0.0734375
1,0.4890625,0.6015625,0.0546875,0.059375
1,0.96953125,0.29453125,0.0609375,0.1515625
1,0.9359375,0.25625,0.034375,0.075
1,0.66875,0.3484375,0.0296875,0.0453125
1,0.6890625,0.565625,0.0515625,0.04375
1,0.0484375,0.746875,0.0390625,0.0578125
0,0.73125,0.7578125,0.084375,0.046875
0,0.975,0.390625,0.05,0.0421875
0,0.9578125,0.4390625,0.075,0.06875
1,0.95625,0.646875,0.065625,0.084375
