class,xcenter,ycenter,width,height
1,0.2078125,0.6234375,0.1515625,0.1578125
1,0.359375,0.6859375,0.06875,0.0546875
1,0.7640625,0.7046875,0.1140625,0.1234375
1,0.69375,0.5734375,0.0875,0.1109375
0,0.5796875,0.6109375,0.11875,0.08125
1,0.621875,0.6640625,0.0703125,0.0453125
1,0.79375,0.4515625,0.0390625,0.071875
0,0.709375,0.28125,0.0875,0.125
0,0.6203125,0.4359375,0.0453125,0.1109375
0,0.4515625,0.5234375,0.1296875,0.084375
1,0.715625,0.4890625,0.071875,0.0734375
0,0.6546875,0.3921875,0.08125,0.13125
0,0.8375,0.5578125,0.0703125,0.1484375
1,0.5671875,0.4125,0.0453125,0.05625
0,0.9265625,0.5859375,0.146875,0.1328125
0,0.8609375,0.459375,0.1125,0.053125
0,0.890625,0.7171875,0.1265625,0.1
1,0.8953125,0.2984375,0.1296875,0.0609375
1,0.7640625,0.5609375,0.059375,0.05
1,0.5734375,0.703125,0.0578125,0.0640625
1,0.153125,0.7078125,0.04375,0.05625
0,0.0203125,0.65,0.040625,0.075
0,0.0859375,0.6609375,0.096875,0.0578125
0,0.8234375,0.7484375,0.0859375,0.0640625
1,0.7671875,0.3390625,0.03125,0.0453125
1,0.596875,0.41875,0.0328125,0.10625
